iter	Passed	Remaining
0	3	7023
1	6	6571
2	9	6587
3	13	6720
4	17	6891
5	21	7026
6	25	7140
7	29	7303
8	33	7435
9	38	7715
10	43	7784
11	46	7755
12	50	7730
13	55	7913
14	59	7907
15	63	7885
16	66	7778
17	70	7739
18	73	7687
19	76	7581
20	81	7671
21	86	7763
22	89	7702
23	94	7791
24	98	7784
25	101	7736
26	106	7816
27	110	7816
28	114	7756
29	118	7753
30	121	7729
31	125	7713
32	128	7677
33	131	7601
34	135	7600
35	140	7678
36	143	7633
37	149	7704
38	154	7773
39	156	7691
40	163	7819
41	171	8011
42	179	8186
43	185	8238
44	189	8245
45	194	8247
46	199	8303
47	203	8287
48	208	8317
49	213	8316
50	217	8302
51	221	8281
52	224	8239
53	228	8219
54	232	8231
55	236	8223
56	239	8178
57	244	8173
58	248	8163
59	251	8139
60	254	8102
61	257	8056
62	262	8057
63	265	8017
64	268	7999
65	272	7980
66	275	7945
67	278	7920
68	282	7894
69	286	7894
70	290	7884
71	292	7833
72	295	7806
73	298	7765
74	301	7733
75	303	7692
76	306	7664
77	310	7642
78	313	7634
79	317	7608
80	320	7582
81	322	7553
82	326	7539
83	330	7531
84	333	7521
85	336	7491
86	339	7473
87	342	7441
88	345	7422
89	348	7396
90	351	7382
91	354	7360
92	357	7334
93	360	7315
94	363	7289
95	366	7269
96	369	7252
97	372	7234
98	376	7224
99	379	7207
100	382	7198
101	386	7182
102	388	7155
103	392	7147
104	395	7144
105	400	7149
106	403	7144
107	408	7148
108	411	7142
109	415	7137
110	418	7127
111	422	7122
112	425	7108
113	429	7105
114	433	7106
115	437	7103
116	441	7104
117	445	7104
118	449	7098
119	452	7091
120	455	7078
121	458	7063
122	462	7054
123	465	7044
124	469	7048
125	474	7059
126	478	7054
127	481	7049
128	486	7048
129	490	7054
130	494	7052
131	498	7048
132	501	7045
133	505	7035
134	508	7029
135	512	7023
136	516	7021
137	519	7013
138	523	7008
139	527	7002
140	530	6994
141	534	6991
142	537	6984
143	541	6977
144	544	6969
145	548	6960
146	551	6948
147	554	6937
148	557	6925
149	561	6920
150	564	6914
151	568	6908
152	571	6904
153	575	6900
154	579	6896
155	583	6895
156	586	6890
157	590	6888
158	594	6881
159	598	6881
160	602	6882
161	606	6880
162	610	6883
163	615	6885
164	618	6883
165	622	6872
166	625	6868
167	629	6864
168	633	6862
169	637	6859
170	641	6858
171	644	6853
172	648	6847
173	652	6844
174	656	6844
175	660	6843
176	664	6842
177	668	6838
178	672	6836
179	675	6832
180	679	6825
181	682	6820
182	686	6818
183	690	6813
184	693	6808
185	698	6809
186	702	6806
187	705	6800
188	708	6792
189	712	6786
190	716	6787
191	720	6788
192	724	6787
193	728	6784
194	732	6780
195	735	6773
196	739	6768
197	743	6767
198	747	6765
199	750	6758
200	754	6751
201	757	6746
202	762	6749
203	765	6742
204	769	6739
205	773	6740
206	777	6738
207	781	6733
208	785	6733
209	789	6732
210	793	6728
211	797	6723
212	800	6717
213	804	6713
214	808	6713
215	813	6717
216	817	6713
217	821	6715
218	826	6719
219	829	6714
220	833	6711
221	837	6710
222	841	6708
223	845	6704
224	849	6701
225	853	6697
226	857	6694
227	860	6687
228	864	6682
229	867	6677
230	871	6672
231	874	6667
232	878	6662
233	882	6658
234	886	6660
235	891	6661
236	894	6656
237	898	6655
238	902	6651
239	906	6646
240	909	6638
241	913	6637
242	917	6634
243	921	6630
244	926	6633
245	929	6625
246	932	6616
247	934	6603
248	937	6593
249	940	6586
250	943	6576
251	945	6559
252	948	6547
253	950	6532
254	952	6516
255	954	6502
256	956	6486
257	957	6467
258	960	6453
259	961	6437
260	964	6423
261	965	6405
262	967	6387
263	968	6370
264	970	6356
265	972	6339
266	974	6327
267	977	6318
268	979	6304
269	981	6291
270	983	6276
271	985	6260
272	987	6248
273	989	6234
274	991	6216
275	992	6201
276	994	6185
277	996	6171
278	998	6157
279	1000	6144
280	1001	6128
281	1003	6112
282	1005	6098
283	1007	6086
284	1008	6070
285	1010	6053
286	1011	6040
287	1013	6027
288	1016	6017
289	1018	6006
290	1019	5989
291	1021	5977
292	1023	5964
293	1025	5949
294	1026	5934
295	1028	5921
296	1030	5911
297	1033	5904
298	1035	5891
299	1038	5882
300	1039	5868
301	1041	5858
302	1043	5845
303	1045	5832
304	1047	5822
305	1049	5807
306	1050	5794
307	1052	5782
308	1054	5768
309	1056	5758
310	1057	5744
311	1059	5731
312	1061	5722
313	1063	5709
314	1064	5694
315	1066	5682
316	1067	5670
317	1069	5658
318	1072	5650
319	1073	5638
320	1075	5626
321	1077	5616
322	1079	5606
323	1081	5594
324	1084	5587
325	1087	5581
326	1088	5569
327	1090	5558
328	1092	5547
329	1094	5536
330	1096	5526
331	1097	5516
332	1100	5509
333	1103	5504
334	1105	5494
335	1107	5483
336	1109	5475
337	1111	5465
338	1112	5452
339	1114	5442
340	1116	5430
341	1118	5421
342	1119	5409
343	1121	5399
344	1123	5391
345	1125	5378
346	1127	5371
347	1128	5359
348	1131	5354
349	1134	5347
350	1136	5337
351	1137	5324
352	1139	5315
353	1141	5307
354	1143	5296
355	1144	5286
356	1146	5275
357	1148	5266
358	1150	5257
359	1151	5247
360	1154	5240
361	1155	5229
362	1157	5220
363	1160	5214
364	1161	5203
365	1163	5195
366	1166	5190
367	1168	5181
368	1169	5171
369	1172	5163
370	1173	5154
371	1175	5146
372	1178	5142
373	1180	5131
374	1181	5119
375	1182	5108
376	1185	5101
377	1187	5094
378	1189	5087
379	1191	5078
380	1192	5067
381	1193	5057
382	1195	5047
383	1197	5037
384	1224	5137
385	1228	5135
386	1229	5124
387	1234	5127
388	1237	5126
389	1239	5118
390	1241	5108
391	1244	5102
392	1245	5093
393	1246	5081
394	1247	5069
395	1249	5060
396	1250	5050
397	1252	5041
398	1253	5029
399	1254	5019
400	1257	5013
401	1259	5005
402	1262	5003
403	1264	4993
404	1265	4982
405	1266	4973
406	1268	4964
407	1270	4958
408	1272	4948
409	1274	4942
410	1275	4931
411	1277	4922
412	1279	4917
413	1281	4908
414	1283	4903
415	1285	4895
416	1287	4886
417	1289	4880
418	1291	4873
419	1293	4865
420	1295	4858
421	1297	4850
422	1298	4842
423	1301	4837
424	1303	4829
425	1305	4822
426	1310	4828
427	1314	4827
428	1318	4827
429	1321	4826
430	1325	4824
431	1326	4816
432	1328	4806
433	1330	4799
434	1332	4793
435	1334	4787
436	1336	4779
437	1337	4770
438	1339	4764
439	1345	4769
440	1352	4779
441	1359	4793
442	1362	4789
443	1364	4781
444	1367	4777
445	1368	4768
446	1370	4759
447	1371	4751
448	1372	4742
449	1374	4732
450	1375	4723
451	1377	4716
452	1378	4708
453	1380	4700
454	1382	4694
455	1384	4687
456	1385	4678
457	1388	4673
458	1389	4664
459	1391	4657
460	1392	4648
461	1393	4639
462	1396	4635
463	1399	4631
464	1401	4625
465	1403	4620
466	1405	4613
467	1407	4605
468	1408	4599
469	1410	4593
470	1412	4586
471	1414	4580
472	1416	4572
473	1417	4564
474	1420	4560
475	1422	4553
476	1425	4551
477	1427	4545
478	1430	4542
479	1434	4543
480	1436	4536
481	1438	4530
482	1439	4521
483	1442	4519
484	1444	4510
485	1446	4506
